subjid,sessid,trialid,trialnum,stage,rewmag,delay,choice,points,smag,sdelay,short_delay,long_delay,treat_ind
12,615,40759,1,1,2,3,0,4,4,0,0,4320,L
12,615,40767,2,2,8,64,0,8,4,0,0,92160,L
12,615,40777,3,2,8,14,0,12,4,0,0,20160,L
12,615,40781,4,2,8,30,0,16,4,0,0,43200,L
12,615,40787,5,2,8,64,0,20,4,0,0,92160,L
12,615,40791,6,2,8,3,1,28,4,0,0,4320,L
12,615,40797,7,2,8,6.5,1,36,4,0,0,9360,L
12,615,40803,8,2,8,64,0,40,4,0,0,92160,L
12,615,40805,9,2,8,64,0,44,4,0,0,92160,L
12,615,40809,10,2,8,30,0,48,4,0,0,43200,L
12,615,40813,11,2,8,14,0,52,4,0,0,20160,L
12,615,40815,12,2,8,6.5,1,60,4,0,0,9360,L
12,615,40819,13,2,8,64,0,64,4,0,0,92160,L
12,615,40825,14,2,8,6.5,1,72,4,0,0,9360,L
12,615,40829,15,2,8,3,1,80,4,0,0,4320,L
12,615,40833,16,2,8,64,0,84,4,0,0,92160,L
12,615,40839,17,2,8,30,0,88,4,0,0,43200,L
12,615,40843,18,2,8,30,0,92,4,0,0,43200,L
12,615,40853,19,3,1,64,0,96,4,0,0,92160,L
12,615,40855,20,3,1,3,0,100,4,0,0,4320,L
12,615,40859,21,4,10,14,1,110,4,0,0,20160,L
12,615,40861,22,4,10,64,0,114,4,0,0,92160,L
12,615,40865,23,4,10,6.5,1,124,4,0,0,9360,L
12,615,40867,24,4,10,64,0,128,4,0,0,92160,L
12,615,40871,25,4,10,14,1,138,4,0,0,20160,L
12,615,40873,26,4,10,3,1,148,4,0,0,4320,L
12,615,40875,27,4,10,3,1,158,4,0,0,4320,L
12,615,40877,28,4,10,64,0,162,4,0,0,92160,L
12,615,40879,29,4,10,6.5,1,172,4,0,0,9360,L
12,615,40881,30,4,10,3,1,182,4,0,0,4320,L
12,615,40883,31,4,10,64,0,186,4,0,0,92160,L
12,615,40885,32,4,10,64,0,190,4,0,0,92160,L
12,615,40887,33,4,10,64,0,194,4,0,0,92160,L
12,615,40889,34,4,10,64,0,198,4,0,0,92160,L
12,615,40891,35,4,10,30,0,202,4,0,0,43200,L
12,615,40893,36,5,5,6.5,0,206,4,0,0,9360,L
12,615,40895,37,5,5,6.5,0,210,4,0,0,9360,L
12,615,40897,38,5,5,14,0,214,4,0,0,20160,L
12,615,40899,39,5,5,6.5,0,218,4,0,0,9360,L
12,615,40901,40,5,5,30,0,222,4,0,0,43200,L
12,615,40903,41,5,5,3,0,226,4,0,0,4320,L
12,615,40905,42,5,5,3,0,230,4,0,0,4320,L
12,615,40907,43,5,5,64,0,234,4,0,0,92160,L
12,615,40909,44,5,5,30,0,238,4,0,0,43200,L
