subjid,sessid,trialid,trialnum,stage,rewmag,delay,choice,points,smag,sdelay,short_delay,long_delay,treat_ind
12,605,40473,1,1,10,3,1,10,4,0,0,0.05,S
12,605,40475,2,1,10,30,1,20,4,0,0,0.5,S
12,605,40477,3,1,10,14,1,30,4,0,0,0.233333,S
12,605,40479,4,1,10,64,1,40,4,0,0,1.06667,S
12,605,40481,5,1,10,6.5,1,50,4,0,0,0.108333,S
12,605,40483,6,1,10,14,1,60,4,0,0,0.233333,S
12,605,40485,7,1,10,64,1,70,4,0,0,1.06667,S
12,605,40487,8,1,10,3,1,80,4,0,0,0.05,S
12,605,40489,9,1,10,3,1,90,4,0,0,0.05,S
12,605,40491,10,1,10,30,1,100,4,0,0,0.5,S
12,605,40493,11,1,10,64,1,110,4,0,0,1.06667,S
12,605,40495,12,1,10,3,1,120,4,0,0,0.05,S
12,605,40497,13,1,10,3,1,130,4,0,0,0.05,S
12,605,40499,14,1,10,30,1,140,4,0,0,0.5,S
12,605,40501,15,1,10,6.5,1,150,4,0,0,0.108333,S
12,605,40503,16,2,1,3,0,154,4,0,0,0.05,S
12,605,40505,17,3,5,14,0,158,4,0,0,0.233333,S
12,605,40507,18,3,5,14,0,162,4,0,0,0.233333,S
12,605,40509,19,3,5,30,0,166,4,0,0,0.5,S
12,605,40511,20,3,5,3,1,171,4,0,0,0.05,S
12,605,40513,21,3,5,64,0,175,4,0,0,1.06667,S
12,605,40515,22,3,5,3,1,180,4,0,0,0.05,S
12,605,40519,23,3,5,30,0,184,4,0,0,0.5,S
12,605,40525,24,3,5,14,0,188,4,0,0,0.233333,S
12,605,40535,25,3,5,3,1,193,4,0,0,0.05,S
12,605,40547,26,3,5,6.5,1,198,4,0,0,0.108333,S
12,605,40553,27,3,5,14,0,202,4,0,0,0.233333,S
12,605,40557,28,3,5,14,0,206,4,0,0,0.233333,S
12,605,40561,29,3,5,64,0,210,4,0,0,1.06667,S
12,605,40565,30,3,5,6.5,0,214,4,0,0,0.108333,S
12,605,40613,31,4,8,64,1,222,4,0,0,1.06667,S
12,605,40615,32,4,8,30,1,230,4,0,0,0.5,S
12,605,40617,33,4,8,64,0,234,4,0,0,1.06667,S
12,605,40627,34,4,8,30,1,242,4,0,0,0.5,S
12,605,40639,35,4,8,6.5,1,250,4,0,0,0.108333,S
12,605,40645,36,4,8,64,0,254,4,0,0,1.06667,S
12,605,40653,37,4,8,6.5,1,262,4,0,0,0.108333,S
12,605,40659,38,4,8,30,0,266,4,0,0,0.5,S
12,605,40671,39,4,8,6.5,1,274,4,0,0,0.108333,S
12,605,40679,40,4,8,3,1,282,4,0,0,0.05,S
12,605,40687,41,4,8,3,1,290,4,0,0,0.05,S
12,605,40693,42,4,8,6.5,1,298,4,0,0,0.108333,S
12,605,40703,43,4,8,6.5,1,306,4,0,0,0.108333,S
12,605,40707,44,4,8,30,0,310,4,0,0,0.5,S
12,605,40715,45,4,8,3,1,318,4,0,0,0.05,S
12,605,40723,46,4,8,3,1,326,4,0,0,0.05,S
12,605,40727,47,4,8,3,1,334,4,0,0,0.05,S
12,605,40729,48,4,8,6.5,1,342,4,0,0,0.108333,S
12,605,40731,49,5,2,30,0,346,4,0,0,0.5,S
12,619,40953,50,1,8,30,1,354,4,0,0,0.5,S
12,619,40959,51,1,8,3,1,362,4,0,0,0.05,S
12,619,40963,52,1,8,30,0,366,4,0,0,0.5,S
12,619,40967,53,1,8,64,0,370,4,0,0,1.06667,S
12,619,40979,54,1,8,14,1,378,4,0,0,0.233333,S
12,619,40993,55,1,8,14,1,386,4,0,0,0.233333,S
12,619,40997,56,1,8,64,0,390,4,0,0,1.06667,S
12,619,41001,57,1,8,64,0,394,4,0,0,1.06667,S
12,619,41013,58,1,8,14,1,402,4,0,0,0.233333,S
12,619,41019,59,1,8,14,1,410,4,0,0,0.233333,S
12,619,41021,60,1,8,14,1,418,4,0,0,0.233333,S
12,619,41023,61,1,8,14,1,426,4,0,0,0.233333,S
12,619,41027,62,1,8,3,1,434,4,0,0,0.05,S
12,619,41031,63,1,8,64,0,438,4,0,0,1.06667,S
